"level_3_fine","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-150: Electromagnetic and Resistivity Prospecting",0.0251676961778759,0.136328836765819,FALSE,5,0,1,4
"L3-189: Satellite-Based Geodetic Surveying",0.0733834433563476,0.146740580384399,FALSE,13,12,1,0
"L3-102: Acoustic Signal Analysis",0.042231019501626,0.104098294583999,FALSE,2,0,0,2
"L3-180: Geometric and Metric Feature Analysis",-0.0422293703417087,0.104088622837531,FALSE,0,0,0,0
"L3-161: Vector Representation Methods",-0.0100397552991357,0.109001657882347,FALSE,8,6,2,0
"L3-194: Word Vector Models",0.0100412965379056,0.109000789665329,FALSE,21,3,5,13
"L3-012: Bayesian Change Point Modeling",-0.0661955070156919,0.147317824622718,FALSE,47,4,28,15
"L3-024: Bayesian Panel Data Methods",0.149934119697063,0.176604901783682,FALSE,0,0,0,0
"L3-127: Bayesian Outlier Modeling",-0.014145102677972,0.14081742277016,FALSE,4,2,0,2
"L3-136: Autoregressive and Cointegration Methods",-0.00154358431545055,0.135356055270265,FALSE,5,0,3,2
"L3-142: Bayesian Age-Depth Modeling",-0.0249762600738319,0.131731413493918,FALSE,10,2,3,5
"L3-144: Bayesian Chronological Inference",0.00138202682015141,0.13001568629852,FALSE,112,46,46,20
"L3-145: Temporal Dynamics & Interval Modeling",-0.0444644475996529,0.142014209854364,FALSE,71,34,19,18
"L3-037: Network Centrality Metrics",0.0110022319521052,0.129136321733491,FALSE,29,3,14,12
"L3-055: Path-Based Network Analysis",-0.0234233633784133,0.133230710557088,FALSE,6,0,2,4
"L3-066: Least Cost Path Modeling",-0.0246975436610262,0.113894100711797,FALSE,11,0,6,5
"L3-079: Graph Structural Analysis",0.0798954643128772,0.133543795044105,FALSE,105,24,49,32
"L3-080: Complex Network Analysis",-0.0427803843919689,0.115253990382251,FALSE,499,242,177,80
"L3-092: Weighted Averaging Variants",-0.00347960089898155,0.104988185859962,FALSE,2,0,0,2
"L3-093: Weighted Overlay and Entropy Methods",0.00347987180998856,0.104992005517216,FALSE,2,0,0,2
"L3-013: Spectral Index Analysis",-0.0546558578147559,0.140275037934375,FALSE,0,0,0,0
"L3-199: Viewshed and Intervisibility Modeling",-0.0669742339057619,0.130260869755129,FALSE,14,4,8,2
"L3-208: Terrain Surface Modeling",0.0767687745672521,0.139266561951838,FALSE,25,7,13,5
"L3-214: Landscape Characterization",0.00158042534656171,0.141787652420625,FALSE,5,1,3,1
"L3-218: Hydrological Terrain Modeling",-0.0672554250155592,0.149333397329417,FALSE,18,15,2,1
"L3-222: Spatial Statistical Modeling",0.102023364904026,0.139557951407538,FALSE,102,28,58,16
"L3-223: Spatial Syntax and Modeling",-0.00793919884619023,0.118555029521203,FALSE,3,3,0,0
"L3-225: GIS-Based Spatial Analysis",0.0535276847634962,0.130810825429529,FALSE,308,211,81,16
"L3-226: GIS-Based Spatial Modeling",-0.0580895450796583,0.110023577433352,FALSE,23,7,14,2
"L3-228: Hydrological and Hydraulic Modeling",0.0209995659056493,0.140713533864973,FALSE,24,12,9,3
"L3-004: Advanced Spline Interpolation",-0.0206207133525102,0.127141352181802,FALSE,2,0,0,2
"L3-210: Deterministic Spatial Interpolation",0.0625223992440951,0.134122216008368,FALSE,10,3,3,4
"L3-211: Variogram Analysis",-0.0190485371175942,0.130418333012049,FALSE,1,0,0,1
"L3-212: Kriging Variants",-0.0228630685874043,0.130833697108795,FALSE,36,3,6,27
"L3-117: Morphometric Visualization",0.00805925757738453,0.13467177443698,FALSE,11,8,0,3
"L3-155: Voronoi and Delaunay Methods",0.00633527557769065,0.138294146265185,FALSE,6,3,2,1
"L3-160: Triangular Geometric Analysis",-0.0094887224540224,0.141284540829649,FALSE,0,0,0,0
"L3-169: Parametric CAD Modeling",-0.0386458597147943,0.138672716469814,FALSE,4,2,2,0
"L3-170: Neural Radiance Field Rendering",0.0564608521225693,0.140420197146428,FALSE,39,17,18,4
"L3-171: 3D Digital Reconstruction",-0.00763802191295646,0.115695399858097,FALSE,105,64,37,4
"L3-182: Landmark-Based Geometric Morphometrics",-0.0364295100322962,0.138494213665818,FALSE,65,32,17,16
"L3-183: 3D Landmark and Semilandmark Analysis",0.0213522416264751,0.111849234824365,FALSE,4,0,0,4
"L3-054: Point Cloud Registration & Analysis",0.0181870222751956,0.125257921846989,FALSE,48,11,25,12
"L3-152: Active 3D Laser and Optical Scanning",-0.00345248965802444,0.109574958091339,FALSE,85,53,31,1
"L3-195: Photogrammetric Reconstruction",-0.0323537186599424,0.108468260740618,FALSE,21,1,19,1
"L3-196: Multi-View Geometry & Dense Reconstruction",0.0176080447372092,0.114237691067201,FALSE,0,0,0,0
"L3-026: Monte Carlo Simulation",-0.0436211333018471,0.126939981691696,FALSE,47,7,14,26
"L3-046: Resampling and Bootstrap Techniques",0.0513264645210565,0.130959640364536,FALSE,17,0,2,15
"L3-049: Stochastic Randomization Techniques",0.0175320786692554,0.128823500185294,FALSE,3,0,1,2
"L3-050: Stratified and Adaptive Sampling",-0.025235579761494,0.133656935131333,FALSE,1,0,0,1
"L3-027: Bayesian Point Process Modeling",0.0419819673668419,0.144310151194597,FALSE,19,3,12,4
"L3-064: Bayesian and Mixed-Effect Modeling",0.0262978751096193,0.131263802947511,FALSE,7,0,0,7
"L3-124: Summed Probability Distributions",-0.0325940503636708,0.136436584054375,FALSE,0,0,0,0
"L3-125: Bayesian Multilevel Modeling",-0.00414281152028238,0.138889509771155,FALSE,22,0,8,14
"L3-154: Bayesian Radiocarbon Modeling",-0.0575420708077165,0.147643986687154,FALSE,25,6,4,15
"L3-158: Bayesian Statistical Modeling",0.0581306265796566,0.120128562747717,FALSE,119,27,34,58
"L3-159: Probabilistic Modeling",-0.0272921802926952,0.138766680300328,FALSE,37,9,9,19
"L3-166: Parametric Survival and Decay Modeling",-0.00484119586585599,0.136423467966232,FALSE,0,0,0,0
"L3-025: Density-Based Clustering",-0.00130320416143369,0.0972026926175694,FALSE,22,2,6,14
"L3-033: Advanced Kernel Density Estimation",0.00130779998449475,0.0971971583554364,FALSE,69,7,28,34
"L3-062: Gaussian Process Methods",0.0219702385101761,0.116692095777962,FALSE,13,0,1,12
"L3-063: Gaussian Mixture Modeling",0.0282281324310339,0.118375617970086,FALSE,27,0,0,27
"L3-065: End Member and Source Separation",-0.0502081679259025,0.11629252388889,FALSE,93,24,29,40
"L3-051: Maximum Likelihood Estimation",-0.0187564812950437,0.126159468132227,FALSE,4,1,0,3
"L3-122: Mixed Effects Modeling",-0.00717869889361863,0.135046413860796,FALSE,1,0,0,1
"L3-123: Generalized Linear Modeling",0.129658011630702,0.146960630787373,FALSE,6,0,0,6
"L3-134: Logistic Regression Variants",-0.13813484912794,0.150531989574786,FALSE,5,0,1,4
"L3-135: Non-Normal GLM Extensions",0.0344257617818415,0.135337981553188,FALSE,1,0,0,1
"L3-126: Stepwise Variable Selection",-0.0279087997788873,0.130836192254428,FALSE,2,0,0,2
"L3-129: Multivariate Regression Analysis",-0.0210827500635419,0.124384596426521,FALSE,53,11,14,28
"L3-130: Least Squares Variants",0.041661514589407,0.125972022233477,FALSE,15,0,0,15
"L3-146: Specialized Regression Techniques",0.0555516173877647,0.125380375400722,FALSE,33,0,5,28
"L3-147: Linear Regression Techniques",-0.0482283822935366,0.121352032308032,FALSE,6,1,0,5
"L3-005: Procrustes Analysis",0.00761705219363805,0.130440688096792,FALSE,32,0,12,20
"L3-006: Partial Least Squares Variants",0.130514049309483,0.141321903817974,FALSE,0,0,0,0
"L3-015: Discriminant Analysis Methods",-0.0129356185134949,0.117055665427844,FALSE,39,4,8,27
"L3-016: Nonlinear Manifold Learning",0.0407867457100806,0.128412916723553,FALSE,48,0,3,45
"L3-019: Principal Component Analysis Variants",-0.096228777352344,0.112321197375259,FALSE,123,16,22,85
"L3-020: Factor and Correspondence Analysis",-0.0697472973894716,0.121109625886018,FALSE,57,7,34,16
"L3-017: Kernel Methods and Matrix Factorization",-0.113024838439684,0.149610137242729,FALSE,98,5,42,51
"L3-018: Data Augmentation Techniques",-0.0307463808637315,0.140775645051747,FALSE,0,0,0,0
"L3-143: Multi-Scale Feature Fusion",0.0174821996694452,0.136996388464262,FALSE,18,0,15,3
"L3-181: Specialized Loss Functions",0.00658141488416236,0.139462457226465,FALSE,5,0,0,5
"L3-184: Diffusion-Based Generation",0.0895717302126159,0.156777151687445,FALSE,3,0,3,0
"L3-185: Pretrained Language Models",0.117957448190388,0.159696813839589,FALSE,6,0,1,5
"L3-186: Parameter-Efficient and Few-Shot Adaptation",-0.0692677053824011,0.141369721882391,FALSE,22,0,11,11
"L3-192: Generative Adversarial Networks",0.0747799324126851,0.143465742053251,FALSE,14,3,5,6
"L3-197: Feedforward and Recurrent Neural Networks",-0.0933423337104674,0.133562024598246,FALSE,20,0,6,14
"L3-200: Structured Spatial-Channel Attention",-0.0100477086570209,0.109019962270462,FALSE,0,0,0,0
"L3-201: Advanced Attention Architectures",0.0100449572997155,0.10901848464074,FALSE,14,0,2,12
"L3-009: Real-Time Object Detection",0.135405286297901,0.163266611563993,FALSE,17,6,8,3
"L3-202: Semantic and Instance Segmentation",0.0255182819196188,0.125259331263516,FALSE,56,28,18,10
"L3-203: Residual Network Architectures",-0.0253417178748851,0.134270413587703,FALSE,4,0,0,4
"L3-204: Deep Convolutional Backbone Architectures",-0.00126605100177539,0.127161724754294,FALSE,1,0,1,0
"L3-205: Advanced Convolutional Operators",-0.0923906098297716,0.139253715047841,FALSE,0,0,0,0
"L3-206: Convolutional Neural Network Architectures",-0.0419285751589039,0.131220710353279,FALSE,90,12,35,43
"L3-061: Microstructural and Geochemical Analysis",0.00498663708295592,0.122864852073984,FALSE,5,4,1,0
"L3-108: Paleodietary Surface Texture Analysis",0.0374752668342129,0.130256369066973,FALSE,2,2,0,0
"L3-132: Stratigraphic and Chronological Modeling",-0.0131984111354281,0.127433221623284,FALSE,46,18,10,18
"L3-162: Micromorphological Residue Analysis",-0.0292787023252095,0.129486783899129,FALSE,3,3,0,0
"L3-140: Luminescence and ESR Dating",0.0183307486357674,0.117964017485914,FALSE,5,1,3,1
"L3-151: Geochronological Isotope Dating",-0.0118511928297364,0.120867923712574,FALSE,0,0,0,0
"L3-153: Chronometric Dating Methods",-0.00648150092917824,0.113802230268039,FALSE,20,6,13,1
"L3-030: Cluster Validation Indices",0.0429894557929929,0.141199714980856,FALSE,0,0,0,0
"L3-053: Relief Family Algorithms",-0.0345674556995246,0.142564701948696,FALSE,2,0,0,2
"L3-056: Nearest Neighbor Analysis",-0.0370681239879619,0.125997474089375,FALSE,22,5,4,13
"L3-057: Mahalanobis Distance Variants",-0.0100815747914228,0.133202799599173,FALSE,3,1,0,2
"L3-069: Pairwise Similarity Measures",0.0569292423803397,0.139794743922385,FALSE,40,3,13,24
"L3-070: Biological and Geometric Distance Metrics",-0.0182217204451796,0.124524541077594,FALSE,7,1,1,5
"L3-010: Hierarchical Clustering Methods",-0.01331407772663,0.106944619167138,FALSE,30,3,7,20
"L3-011: Hierarchical Agglomerative Clustering",-0.00568903129242818,0.120586371273299,FALSE,33,3,10,20
"L3-052: Partitioning Clustering Algorithms",0.0190075951339765,0.105272458825456,FALSE,108,11,38,59
"L3-077: Raman Spectroscopy Techniques",-0.0112871440549398,0.099364959215719,FALSE,11,6,0,5
"L3-082: Fourier Transform Infrared Spectroscopy",0.0528516260708395,0.101658465549326,FALSE,4,1,0,3
"L3-083: Reflectance and Emission Spectroscopy",-0.0415669191493896,0.1087303379045,FALSE,1,1,0,0
"L3-074: Diffraction Analysis and Rietveld Refinement",-0.000550136623027313,0.095020858903828,FALSE,2,2,0,0
"L3-088: X-ray Fluorescence and Absorption Spectroscopy",0.0183656602207795,0.0954464598664543,FALSE,27,17,3,7
"L3-089: X-ray Fluorescence and Photoelectron Spectroscopy",-0.017814344674617,0.0984286231040004,FALSE,0,0,0,0
"L3-045: Survival Analysis Methods",-0.0152364922960109,0.132799331634587,FALSE,7,0,1,6
"L3-106: Performance Metrics and Evaluation Curves",0.0649132848486154,0.132803538823911,FALSE,6,0,0,6
"L3-109: Categorical Data Analysis",-0.110405411524267,0.142263362234672,FALSE,2,0,0,2
"L3-110: Reliability and Agreement Metrics",-0.00687232070796179,0.126650769280525,FALSE,5,1,0,4
"L3-235: Remote Sensing Accuracy Metrics",0.0676235221550942,0.140095823107769,FALSE,0,0,0,0
"L3-111: Temporal and Spatial Correlation",-0.0363987378091742,0.120927215087116,FALSE,12,7,2,3
"L3-112: Pearson and Partial Correlation",0.0292868963971838,0.118538032297631,FALSE,3,0,0,3
"L3-113: Rank-Based Correlation Analysis",0.0071137689621984,0.119455741922244,FALSE,3,0,1,2
"L3-114: Analysis of Variance Methods",0.0825664893629925,0.122966387850007,FALSE,0,0,0,0
"L3-115: Multivariate Statistical Analysis",-0.0970248052788638,0.118391988756405,FALSE,78,30,31,17
"L3-229: Univariate Exploratory Statistics",-0.0419946023654323,0.112906306612741,FALSE,0,0,0,0
"L3-230: Univariate Statistical Analysis",0.0564427948464027,0.111064438530622,FALSE,0,0,0,0
"L3-098: Nonparametric Statistical Methods",-0.0554825263895972,0.137741400977511,FALSE,18,8,6,4
"L3-116: Nonparametric Rank-Based Tests",0.015824557194828,0.127682089364705,FALSE,1,0,0,1
"L3-118: Hypothesis Testing Procedures",-0.106928821400065,0.138302564303901,FALSE,1,0,0,1
"L3-119: Post Hoc Multiple Comparison Tests",0.0696344594740465,0.138489262921885,FALSE,0,0,0,0
"L3-120: Student's t-test Variants",0.0769511109022382,0.129086671606971,FALSE,0,0,0,0
"L3-003: Gradient Boosting Interpretability",0.0199771068591445,0.105490742834873,FALSE,26,0,4,22
"L3-034: Bagging Ensemble Methods",-0.0199751481120238,0.105487632841022,FALSE,8,0,0,8
"L3-008: Single Decision Tree Algorithms",-0.00626010840619512,0.0980757244197046,FALSE,2,1,0,1
"L3-022: Random Forest Variants",0.00626655679905575,0.0980727313113986,FALSE,104,11,20,73
"L3-163: Pollen-Based Paleoclimate Reconstruction",-0.0099273599715891,0.110398022922504,FALSE,9,3,6,0
"L3-164: Paleo-Proxy Transfer Functions",0.00991998453170886,0.110400228319304,FALSE,13,9,3,1
"L3-038: Ancient and Forensic DNA Analysis",0.0287177412929153,0.119798783339063,FALSE,22,14,6,2
"L3-040: Polymerase Chain Reaction Variants",-0.0469767757872633,0.127748144410512,FALSE,0,0,0,0
"L3-041: DNA Sequencing and Profiling",0.0182516978176969,0.121019045042617,FALSE,11,0,9,2
"L3-042: Liquid Chromatography Mass Spectrometry",-0.00203048530017684,0.110669806097966,FALSE,2,2,0,0
"L3-043: Pyrolysis-GC-MS Analysis",-0.0175166542196008,0.10884967280611,FALSE,0,0,0,0
"L3-044: Chromatographic Mass Spectrometry",0.0195417130942154,0.107546704381406,FALSE,2,1,1,0
"L3-175: Geometric and Radiometric Correction",-0.0127561481506413,0.125456431484996,FALSE,6,0,1,5
"L3-176: Multispectral Photographic Analysis",0.0362699435195117,0.126092588829022,FALSE,6,2,3,1
"L3-187: Image Content Understanding",0.0342691023358047,0.125059682280621,FALSE,31,12,9,10
"L3-188: Digital Image Processing",-0.057797174663745,0.123405884541213,FALSE,48,34,5,9
"L3-075: Signal Filtering and Denoising",-0.0339298664685449,0.103948918232078,FALSE,10,0,1,9
"L3-076: Edge Detection and Filtering",0.0339267034782369,0.103953253485388,FALSE,6,1,0,5
"L3-023: Statistical Data Transformations",-0.0430109739262128,0.108489363476901,FALSE,1,0,0,1
"L3-059: Feature Normalization Techniques",0.0430051696885106,0.108490567270156,FALSE,3,0,1,2
"L3-084: Electron Microprobe and Spectrometry",0.0366509166382121,0.106777799975854,FALSE,9,8,0,1
"L3-085: Microscopic and Microanalytical Methods",-0.0916853692009572,0.138622413415075,FALSE,5,3,2,0
"L3-086: Optical and Electron Microscopy",0.0550357679226271,0.115365221047571,FALSE,4,2,0,2
"L3-060: Neutron Activation Analysis",-0.0616353045567508,0.112424213698379,FALSE,7,4,1,2
"L3-105: Multi-Element Isotope Profiling",0.0616343236569662,0.11242977094739,FALSE,31,18,8,5
"L3-007: Phylogenetic Reconstruction Techniques",0.00619300783845558,0.109998725741716,FALSE,104,49,23,32
"L3-021: Multivariate Ordination and Seriation",-0.0172235407029727,0.111580016233363,FALSE,57,10,37,10
"L3-213: Ecological Niche Modeling",0.0110258234788392,0.110708467707557,FALSE,7,3,2,2
"L3-138: Finite Element Analysis",-0.0133088331122806,0.121896589336566,FALSE,23,5,16,2
"L3-139: Geotechnical Limit Analysis",-0.0282598109459152,0.141434172956062,FALSE,0,0,0,0
"L3-141: Nonlinear Structural Dynamics",0.0323586662175593,0.139952229558057,FALSE,0,0,0,0
"L3-215: Numerical Glaciological Modeling",-0.0448226793514129,0.149969197893698,FALSE,0,0,0,0
"L3-216: Process-Based Simulation Modeling",0.115380193708804,0.144909855339249,FALSE,545,285,246,14
"L3-219: Numerical Mass and Energy Balance",-0.0517311962218039,0.145723179583192,FALSE,0,0,0,0
"L3-220: Discrete and Continuous Simulation",0.0178225775751747,0.119571812272692,FALSE,26,0,20,6
"L3-224: Environmental Process Modeling",-0.0164199983943303,0.132761133118758,FALSE,6,4,2,0
"L3-227: Fluid Dynamics Simulation",-0.0110504941417693,0.129054497923825,FALSE,8,3,4,1
"L3-137: Linear Algebraic Decomposition",0.00783895969312924,0.132595185602535,FALSE,5,0,0,5
"L3-167: Multivariate Curve Resolution",0.0268788046617319,0.130790488091432,FALSE,12,0,1,11
"L3-168: Spectroscopic and Isotopic Quantification",-0.00798594515130845,0.139062426432557,FALSE,64,36,13,15
"L3-233: Thermogravimetric and Thermal Analysis",-0.0381891573165182,0.136318984721028,FALSE,1,0,0,1
"L3-234: Spectral Decomposition and Derivative Methods",-0.0584380358466522,0.138081090736858,FALSE,0,0,0,0
"L3-237: Spectral Unmixing and Source Separation",0.023145450875353,0.123548837724782,FALSE,3,3,0,0
"L3-239: Redundancy Analysis Variants",-0.000551613399114125,0.140247224772429,FALSE,0,0,0,0
"L3-240: Remote Sensing and Photogrammetry",0.0385661075779057,0.129888362912989,FALSE,151,116,32,3
"L3-242: Elemental and Mineralogical Spectroscopy",0.00873410451550484,0.119632369694898,FALSE,0,0,0,0
"L3-031: Fractal and Recurrence Analysis",0.0465873053390324,0.138624024799522,FALSE,20,4,4,12
"L3-058: Histogram-Based Band Processing",-0.0310315119025725,0.136706375053511,FALSE,2,1,1,0
"L3-101: Information-Theoretic Entropy Measures",0.136381517048861,0.168243548397696,FALSE,14,0,4,10
"L3-103: Ecological Diversity Metrics",-0.124538086792705,0.150124811049607,FALSE,15,6,4,5
"L3-104: Ecological and Agricultural Suitability Indices",0.00534159071364869,0.129616723049338,FALSE,0,0,0,0
"L3-165: Statistical Ratio and Distribution Analysis",-0.0327374208446927,0.129154633366259,FALSE,2,1,0,1
"L3-091: Bibliometric and Scientometric Analysis",0.0651580359488071,0.121297990894247,FALSE,95,42,39,14
"L3-193: Natural Language Processing",-0.0159296607283011,0.110472919044333,FALSE,324,158,137,29
"L3-231: Qualitative Computational Methods",-0.0492233299603808,0.115947572410097,FALSE,15,13,2,0
"L3-090: Multi-Criteria Decision Methods",0.0849968529249634,0.134415465233073,FALSE,21,9,8,4
"L3-097: Metaheuristic and Exact Optimization",0.0272184706277438,0.122054930392183,FALSE,19,0,2,17
"L3-128: Modern Analogue Techniques",-0.0876970937586629,0.141030682212232,FALSE,1,0,0,1
"L3-221: Experimental Design and Sensitivity Analysis",-0.0245259319439149,0.125429983841054,FALSE,10,1,1,8
"L3-107: Chemometric and Spectroscopic Analysis",0.0467906635216014,0.129849635837912,FALSE,6,0,2,4
"L3-121: Granular Material Characterization",-0.0453225791004393,0.142787147715969,FALSE,0,0,0,0
"L3-148: Virtual Osteological Reconstruction",0.00294876785867033,0.137230089598807,FALSE,13,9,4,0
"L3-207: Visual Data Mining",-0.0582654839986754,0.14436256269012,FALSE,6,5,1,0
"L3-217: Cartographic Data Analysis",0.00818914253766156,0.130467980088174,FALSE,0,0,0,0
"L3-232: Multivariate Statistical Analysis",0.0080059708143775,0.108015978525371,FALSE,8,7,1,0
"L3-236: Automated Content Classification",0.0292845116293621,0.117371427697871,FALSE,140,105,29,6
"L3-238: Comparative and Historical Analysis",-0.0381369658513255,0.131509093955575,FALSE,23,6,12,5
"L3-241: Human-in-the-Loop Data Curation",0.0465153300806487,0.124432947898516,FALSE,28,21,4,3
