"l3","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-122: Linear Mixed-Effect Models",0.00849857692629402,0.114137480703367,FALSE,1,0,0,1
"L3-123: Generalized Linear Mixed Models",0.0797327515577472,0.126457804196263,FALSE,6,0,0,6
"L3-126: Stepwise Variable Selection",-0.00508257818048381,0.113046319345568,FALSE,2,0,0,2
"L3-129: Multiple Regression Models",-0.0245236282353064,0.11215900076616,FALSE,53,11,14,28
"L3-130: Least Squares Regression",0.0328133258248832,0.115517038502787,FALSE,15,0,0,15
"L3-134: Logistic Regression Variants",-0.0756672171447818,0.126671384223951,FALSE,5,0,1,4
"L3-146: Regression Analysis",0.0373043584850932,0.108145975405558,FALSE,33,0,5,28
"L3-147: Linear Regression Variants",-0.015808436622303,0.10766155768362,FALSE,6,1,0,5
"L3-163: Pollen and Spore Quantification",-0.0399809812806772,0.123748624582631,FALSE,9,3,6,0
"L3-164: Transfer Function Calibration",-0.028653341631577,0.11890352105913,FALSE,13,9,3,1
"L3-166: Parametric Survival and Decay Distributions",-0.0289746166261492,0.113911981545253,FALSE,0,0,0,0
"L3-221: Experimental Design and Sensitivity Analysis",-0.00492085808074967,0.111815230558371,FALSE,10,1,1,8
"L3-001: Self-Organizing Neural Networks",-0.0164163835416153,0.108721238802483,FALSE,0,0,0,0
"L3-010: Hierarchical Clustering Algorithms",-0.00852723480063275,0.100805580040373,FALSE,30,3,7,20
"L3-011: Hierarchical Clustering Linkages",-0.00213285312268683,0.105859074126407,FALSE,33,3,10,20
"L3-029: Fuzzy Logic and Clustering",-0.00333597352238294,0.104442812336998,FALSE,17,0,6,11
"L3-052: K-Means Clustering",0.0253384101125032,0.097584810502379,FALSE,108,11,38,59
"L3-063: Gaussian Mixture Modeling",0.00506619716181568,0.106638520691597,FALSE,27,0,0,27
"L3-030: Clustering Validation Metrics",0.0196382280966834,0.109062239667626,FALSE,0,0,0,0
"L3-057: Mahalanobis Distance Variants",-0.0118916785610687,0.106445393474726,FALSE,3,1,0,2
"L3-069: Pairwise Similarity Metrics",0.0262338076558686,0.109274429930066,FALSE,40,3,13,24
"L3-070: Genetic and Biological Distance Metrics",-0.0101129181524853,0.10439793439531,FALSE,7,1,1,5
"L3-099: Image Similarity Metrics",0.055450992596888,0.120595414642018,FALSE,1,0,0,1
"L3-103: Ecological Diversity Metrics",-0.10892803797096,0.145706800741873,FALSE,15,6,4,5
"L3-106: Performance Evaluation Metrics",0.029599289800037,0.109958543804884,FALSE,6,0,0,6
"L3-007: Phylogenetic Reconstruction Methods",0.0158862952734166,0.108899668746941,FALSE,104,49,23,32
"L3-014: Inverse Problem Solving",-0.0664565915272116,0.125951237992858,FALSE,3,0,1,2
"L3-050: Stratified and Adaptive Sampling",-0.0157418713307951,0.116322400208775,FALSE,1,0,0,1
"L3-078: Markov Chain Monte Carlo",0.0097942218566711,0.113611786124405,FALSE,60,1,10,49
"L3-095: Statistical Error Quantification and Modeling",-0.00580964106254742,0.113853364028609,FALSE,4,0,0,4
"L3-101: Information-Theoretic Entropy Measures",0.0763140471359542,0.131073524020251,FALSE,14,0,4,10
"L3-125: Bayesian Multilevel Modeling",-0.0118350242724406,0.11132087148028,FALSE,22,0,8,14
"L3-127: Bayesian Outlier Detection",0.0088859385855643,0.113672326261328,FALSE,4,2,0,2
"L3-135: Bayesian and Advanced Count Models",0.0423868830465305,0.119452204505646,FALSE,1,0,0,1
"L3-158: Bayesian Statistical Inference",-0.020576583693717,0.100109643847517,FALSE,119,27,34,58
"L3-159: Probabilistic Uncertainty Quantification",-0.0157670377256313,0.10896547131696,FALSE,37,9,9,19
"L3-215: Numerical Glaciological Modeling",-0.0170857183549136,0.117319803428812,FALSE,0,0,0,0
"L3-000: Wavelet-Based Signal Decomposition",-0.0286608065837357,0.113514788066262,FALSE,15,0,0,15
"L3-012: Bayesian Change Point Analysis",-0.0105050046681627,0.109940575734674,FALSE,47,4,28,15
"L3-073: Fourier and Spectral Analysis Methods",0.00639874601733917,0.10598856880052,FALSE,42,18,2,22
"L3-075: Time Series Signal Filtering",0.0126874075962916,0.109252347846507,FALSE,10,0,1,9
"L3-100: Experimental Modal Analysis",0.0203726785366932,0.113194859270153,FALSE,1,0,0,1
"L3-111: Lag-Based Correlation Analysis",-0.00144399400627882,0.107560035069872,FALSE,12,7,2,3
"L3-136: Time Series Stationarity and Causality",0.0137464667918395,0.109100489499769,FALSE,5,0,3,2
"L3-145: Temporal Event and Sequence Analysis",-0.0125974935270914,0.112799438282986,FALSE,71,34,19,18
"L3-028: Fuzzy Delphi and Rough Set Methods",0.0280600460710555,0.114669551281069,FALSE,5,1,1,3
"L3-124: Radiocarbon Summed Probability Distributions",-0.03861147859348,0.114790996108487,FALSE,0,0,0,0
"L3-131: Bayesian Radiocarbon Calibration",-0.0395164093882386,0.119454962077336,FALSE,4,2,0,2
"L3-132: Chronostratigraphic Dating Methods",-0.00330257662528188,0.111788205686708,FALSE,46,18,10,18
"L3-133: Bayesian Radiocarbon Wiggle Matching",0.00805255953679468,0.112363133437831,FALSE,8,0,2,6
"L3-140: Luminescence and ESR Dating",0.0236605649583779,0.112628262412902,FALSE,5,1,3,1
"L3-141: Nonlinear Structural Dynamic Analysis",0.019734751002089,0.110227550261193,FALSE,0,0,0,0
"L3-142: Bayesian Age-Depth Modeling",-0.00460548225817856,0.109315866191166,FALSE,10,2,3,5
"L3-144: Bayesian Chronological Modeling",0.0197650875686555,0.110190387346184,FALSE,112,46,46,20
"L3-151: Radiometric and Luminescence Dating",-0.00540390875571625,0.112074218933551,FALSE,0,0,0,0
"L3-153: Radiocarbon and Chronometric Dating",0.0205328261921069,0.0997205709421103,FALSE,20,6,13,1
"L3-154: Bayesian Radiocarbon Calibration",-0.0376668438208408,0.117962360732628,FALSE,25,6,4,15
"L3-238: Comparative and Historical Analysis Methods",0.00923693161295894,0.104225336000155,FALSE,23,6,12,5
"L3-025: Density-Based Clustering",0.00521614565922167,0.104151849543803,FALSE,22,2,6,14
"L3-027: Poisson Point Process Modeling",0.0167683083467616,0.11061713385828,FALSE,19,3,12,4
"L3-032: Polynomial Trend Surface Analysis",-0.0182042663500474,0.113160172549173,FALSE,3,0,0,3
"L3-033: Kernel Density Estimation",0.00746860605096367,0.102050998651579,FALSE,69,7,28,34
"L3-155: Voronoi and Delaunay Geometric Methods",0.00921445871142706,0.109707665495214,FALSE,6,3,2,1
"L3-210: Spatial Interpolation Methods",-0.00165679848483047,0.107888022006427,FALSE,10,3,3,4
"L3-211: Variogram Modeling",-0.0178183554551059,0.113650556183615,FALSE,1,0,0,1
"L3-212: Kriging Interpolation Methods",-0.0376584348234912,0.116843339560508,FALSE,36,3,6,27
"L3-222: Spatial Autocorrelation and Geostatistics",0.0366418062892118,0.106118079474478,FALSE,102,28,58,16
"L3-053: Local Relief Modeling",-0.0201207553700818,0.113590405138324,FALSE,2,0,0,2
"L3-066: Least Cost Path Modeling",0.028956468518467,0.103290918265827,FALSE,11,0,6,5
"L3-067: Weighted Multi-Criteria Cost Surface Modeling",-0.0236820961081029,0.115128565851503,FALSE,3,0,0,3
"L3-093: Weighted Overlay and Entropy Methods",0.00273492587449091,0.10839440533177,FALSE,2,0,0,2
"L3-199: Viewshed and Intervisibility Analysis",-0.0337268130920744,0.106094822047429,FALSE,14,4,8,2
"L3-208: Digital Terrain Modeling and Analysis",0.0541094498911722,0.115229836999324,FALSE,25,7,13,5
"L3-214: GIS-Based Landscape Characterization",0.00588119804708872,0.112801298306995,FALSE,5,1,3,1
"L3-217: Cartographic Data Analysis",0.0211768159243705,0.103819319898155,FALSE,0,0,0,0
"L3-218: Hydrological Sediment Yield Modeling",-0.0368380656909259,0.117727384725164,FALSE,18,15,2,1
"L3-223: Spatial Syntax and Modeling",-0.014835023264954,0.0997855123902652,FALSE,3,3,0,0
"L3-225: GIS-Based Spatial Suitability Analysis",0.0296820316218912,0.108650173522968,FALSE,308,211,81,16
"L3-226: Geographic Information System Modeling",-0.0274293014771619,0.093258435304876,FALSE,23,7,14,2
"L3-228: Hydrological and Hydraulic Modeling",0.0141337415954436,0.114368829659048,FALSE,24,12,9,3
"L3-013: Remote Sensing Spectral Indices",-0.0429848007884623,0.116119271193883,FALSE,0,0,0,0
"L3-072: Spectral Unmixing and Analysis",0.0215330937297603,0.101192590201062,FALSE,27,3,3,21
"L3-172: Multispectral and Hyperspectral Imaging",0.0204399307191286,0.104879798117527,FALSE,30,12,9,9
"L3-175: Geospatial Image Orthorectification",-0.0140635875160839,0.105734009425219,FALSE,6,0,1,5
"L3-235: Remote Sensing Accuracy Metrics",0.0332498420127592,0.114276783586157,FALSE,0,0,0,0
"L3-237: SAR Interferometry and Inversion",0.00284301457940116,0.100709785374431,FALSE,3,3,0,0
"L3-240: Multispectral and Hyperspectral Imaging",-0.021005630816847,0.0954820015864646,FALSE,151,116,32,3
"L3-002: Impulse Response Characterization",0.032736635531096,0.107879668141214,FALSE,0,0,0,0
"L3-048: Seismic Tomography and Migration",-0.00450748647630129,0.101801527315305,FALSE,0,0,0,0
"L3-149: Paleomagnetic and Rock Magnetic Methods",-0.0158978559150574,0.102399080852027,FALSE,2,0,2,0
"L3-150: Electrical Resistivity and GPR Prospecting",-0.0123333411868412,0.102241766821969,FALSE,5,0,1,4
"L3-054: Point Cloud Registration and Alignment",0.00427548169584955,0.106013634743221,FALSE,48,11,25,12
"L3-068: X-ray Computed Tomography",-0.00156573031703972,0.099130442993484,FALSE,4,1,1,2
"L3-071: Optical Interferometry and Profilometry",-0.0255274716450574,0.110230037163832,FALSE,1,0,0,1
"L3-152: Laser and Structured Light 3D Scanning",-0.000930796528977125,0.0931672156109007,FALSE,85,53,31,1
"L3-161: Vector Geometry and Representation",0.00456016646454428,0.109951172945523,FALSE,8,6,2,0
"L3-171: 3D Geometry and Reconstruction",0.0202964715588946,0.0923140316691387,FALSE,105,64,37,4
"L3-189: Satellite-Based Geodetic Surveying",0.0191816697845667,0.109947291901636,FALSE,13,12,1,0
"L3-195: Photogrammetric Reconstruction",-0.019445787320782,0.0939759912458548,FALSE,21,1,19,1
"L3-196: 3D Reconstruction and Depth Estimation",-0.000860992466982922,0.0996314144100372,FALSE,0,0,0,0
"L3-004: Spline-Based Smoothing and Interpolation",-0.0226939191988637,0.107027436230541,FALSE,2,0,0,2
"L3-005: Procrustes Analysis Methods",0.0206220927521091,0.105359392957989,FALSE,32,0,12,20
"L3-094: Elliptic Fourier Shape Analysis",0.00123838222051056,0.104778337852145,FALSE,0,0,0,0
"L3-160: Triangular Geometric Analysis",0.00497138593763667,0.105484231193732,FALSE,0,0,0,0
"L3-182: Landmark-Based Craniometric Analysis",-0.0133136116117456,0.108557751640148,FALSE,65,32,17,16
"L3-183: Geometric Morphometrics",0.00917636789289563,0.0968044659479642,FALSE,4,0,0,4
"L3-058: Circular Histogram Statistics",-0.0216864016883235,0.11807349940304,FALSE,2,1,1,0
"L3-059: Data Normalization and Standardization",0.017185763459333,0.113963579084953,FALSE,3,0,1,2
"L3-076: Edge Detection and Filtering",0.0104482490346999,0.11153505194425,FALSE,6,1,0,5
"L3-086: Optical and Electron Microscopy",-0.0128123080926205,0.106093368249671,FALSE,4,2,0,2
"L3-087: Advanced Infrared Thermography",0.0118472855057055,0.114299187849867,FALSE,8,4,0,4
"L3-102: Audio Signal Processing & Analysis",0.0150502289718959,0.100789451474437,FALSE,2,0,0,2
"L3-108: Dental Microwear Texture Analysis",0.000904103022927477,0.116628113543383,FALSE,2,2,0,0
"L3-156: Histogram-Based Image Thresholding",0.0286927005345105,0.119326599978499,FALSE,1,0,0,1
"L3-157: Image Segmentation Algorithms",0.0344386897509171,0.11343623502123,FALSE,23,9,2,12
"L3-173: Handcrafted Texture and Shape Descriptors",-0.0174136380364009,0.118212242527841,FALSE,14,4,2,8
"L3-174: Hand-Crafted Local Geometric Descriptors",-0.0249673661130819,0.116472691057232,FALSE,1,0,0,1
"L3-176: Imaging and Photogrammetric Analysis",0.0115944679985184,0.113141130472581,FALSE,6,2,3,1
"L3-177: Image Inpainting and Enhancement",0.0141951734557079,0.11070204581845,FALSE,9,6,2,1
"L3-178: Histogram-Based Radiometric Enhancement",-0.0104065671300958,0.112989127179997,FALSE,12,0,0,12
"L3-179: Mathematical Morphology",0.021918435034821,0.116569977703189,FALSE,6,1,1,4
"L3-180: Surface Texture and Gradient Metrics",-0.0111792361490185,0.114182928099273,FALSE,0,0,0,0
"L3-187: Image Recognition and OCR",-0.00684368704688623,0.111815651465559,FALSE,31,12,9,10
"L3-188: Digital Image Analysis and Processing",-0.0341608252141738,0.108809999669349,FALSE,48,34,5,9
"L3-190: Colorimetric and False Color Analysis",-0.0157537110545613,0.113024006329361,FALSE,3,0,0,3
"L3-191: Colorimetric Color Space Transformations",-0.0110135375411475,0.111206548913464,FALSE,1,0,0,1
"L3-003: Gradient Boosting Decision Trees",0.0527374532323642,0.117668481272585,FALSE,26,0,4,22
"L3-008: Decision Tree Algorithms",0.0427939348526941,0.118309719925174,FALSE,2,1,0,1
"L3-015: Discriminant Analysis Variants",-0.0324790121423307,0.103563785332606,FALSE,39,4,8,27
"L3-017: Support Vector Machine Variants",0.00564979205285129,0.101111420308695,FALSE,98,5,42,51
"L3-022: Random Forest Ensemble Methods",0.037389799600925,0.111072514767017,FALSE,104,11,20,73
"L3-034: Bootstrap Aggregating Ensembles",0.00649764753040636,0.111470722085206,FALSE,8,0,0,8
"L3-039: Association Rule Mining Algorithms",-0.00870929821155521,0.113078900764165,FALSE,16,0,1,15
"L3-047: Cross-Validation Techniques",0.0285378488425296,0.110505720159774,FALSE,39,0,1,38
"L3-056: Nearest Neighbor Analysis",-0.0267320504132842,0.109846865275215,FALSE,22,5,4,13
"L3-128: Modern Analogue Techniques",-0.0494814582918044,0.122031225049666,FALSE,1,0,0,1
"L3-236: Automated Content Classification",-0.0561987159743129,0.104043016952397,FALSE,140,105,29,6
"L3-009: YOLO Object Detection Variants",0.081645121848295,0.138880202839715,FALSE,17,6,8,3
"L3-018: Image Data Augmentation",-0.0187172351476444,0.112352565919638,FALSE,0,0,0,0
"L3-143: Multi-Scale Feature Fusion",0.0044522952464505,0.112217850345841,FALSE,18,0,15,3
"L3-170: Neural Radiance Field Rendering",-0.0463203935142453,0.120703595510823,FALSE,39,17,18,4
"L3-181: Deep Learning Loss Functions",-0.0044601636182741,0.114152849837129,FALSE,5,0,0,5
"L3-184: Denoising Diffusion Probabilistic Models",0.0487295457413778,0.121693912919453,FALSE,3,0,3,0
"L3-186: Few-Shot and Self-Supervised Adaptation",-0.0490462470077363,0.119433197571922,FALSE,22,0,11,11
"L3-192: Generative Adversarial Networks",0.0458310676776912,0.116304012950542,FALSE,14,3,5,6
"L3-197: Feedforward and Recurrent Neural Networks",-0.0547498245647928,0.111453633863695,FALSE,20,0,6,14
"L3-198: Encoder-Decoder Architectures",0.0118067384136314,0.117510979954734,FALSE,28,0,7,21
"L3-200: Spatial and Channel Attention Mechanisms",0.0543246844927681,0.125997642074892,FALSE,0,0,0,0
"L3-201: Attention Mechanism Variants",0.0556230873228531,0.126756957087165,FALSE,14,0,2,12
"L3-202: Deep Learning Semantic Segmentation",0.0144754250066806,0.105541495801814,FALSE,56,28,18,10
"L3-203: Residual Learning Architectures",-0.0141665272027205,0.113609183842415,FALSE,4,0,0,4
"L3-204: Convolutional Neural Network Architectures",0.00526562655976004,0.110322131638827,FALSE,1,0,1,0
"L3-205: Advanced Convolutional Architectures",-0.0466697232822945,0.117732601923555,FALSE,0,0,0,0
"L3-206: Convolutional Neural Network Architectures",-0.0154936414028648,0.107798832991153,FALSE,90,12,35,43
"L3-241: Archaeological Dating and Analysis Methods",-0.0725543318618947,0.123898583333029,FALSE,28,21,4,3
"L3-185: Pretrained Transformer Architectures",0.0558597646913188,0.109142413147746,FALSE,6,0,1,5
"L3-193: Natural Language Processing",-0.0299964030716409,0.0935323645583465,FALSE,324,158,137,29
"L3-194: Word Embedding Models",-0.0258561580328244,0.100379476505376,FALSE,21,3,5,13
"L3-035: Inductively Coupled Plasma Spectrometry",-0.0131478883143006,0.100840400275855,FALSE,11,7,0,4
"L3-036: Nuclear Magnetic Resonance Spectroscopy",0.00215722316566425,0.114383441693799,FALSE,2,0,0,2
"L3-040: Polymerase Chain Reaction Variants",-0.0264483159572342,0.117002607893477,FALSE,0,0,0,0
"L3-042: Liquid Chromatography Variants",0.0129936932428461,0.108864323601199,FALSE,2,2,0,0
"L3-060: Neutron Activation Analysis",-0.0262683164693679,0.117460937481966,FALSE,7,4,1,2
"L3-061: Microscopic Mineralogical Characterization",0.0039600453977561,0.109345088613562,FALSE,5,4,1,0
"L3-074: X-ray and Neutron Diffraction",-0.00198768925122679,0.0969431951996392,FALSE,2,2,0,0
"L3-077: Raman Spectroscopy Variants",-0.0081774642215215,0.0977482298531882,FALSE,11,6,0,5
"L3-082: Fourier Transform Infrared Spectroscopy",0.0240426010280863,0.099213938016231,FALSE,4,1,0,3
"L3-083: Reflectance and Emission Spectroscopy",-0.0176413719912215,0.104954007779422,FALSE,1,1,0,0
"L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy",0.024716790961305,0.0950135074411609,FALSE,9,8,0,1
"L3-085: Microscopic and Microanalytical Methods",-0.048986295700979,0.124157226672775,FALSE,5,3,2,0
"L3-088: X-ray Fluorescence and Absorption Spectroscopy",-0.000167462172454525,0.0978250208183482,FALSE,27,17,3,7
"L3-089: X-ray Fluorescence Spectroscopy",-0.0151259057878711,0.0978428703537857,FALSE,0,0,0,0
"L3-107: Chemometric and Spectroscopic Analysis",0.0827352110544902,0.126516351569921,FALSE,6,0,2,4
"L3-168: Spectroscopic and Mass Spectrometric Analysis",0.0115373326734253,0.112779681443668,FALSE,64,36,13,15
"L3-209: Thermogravimetric and Thermal Analysis",-0.00174834891585387,0.114515007132573,FALSE,0,0,0,0
"L3-233: Thermal Analysis and Spectroscopy",-0.0020224170498744,0.114209290147619,FALSE,1,0,0,1
"L3-234: Differential Spectroscopic Methods",-0.000401184546137361,0.108064183582231,FALSE,0,0,0,0
"L3-038: Ancient DNA and Population Genomics",0.00760568067835129,0.104803599844763,FALSE,22,14,6,2
"L3-041: DNA Sequencing and Metabarcoding",-0.0168364629469876,0.107066208859077,FALSE,11,0,9,2
"L3-043: Gas Chromatography Mass Spectrometry",0.00959183772094739,0.101827430918841,FALSE,0,0,0,0
"L3-044: Mass Spectrometry-Based Proteomics",0.0279805632938497,0.100351938402906,FALSE,2,1,1,0
"L3-064: Bayesian Multi-Source Mixing Models",-0.0194130752011494,0.103203668161976,FALSE,7,0,0,7
"L3-065: End Member Mixing Models",-0.0517553135146658,0.113422169095101,FALSE,93,24,29,40
"L3-105: Stable Isotope Ratio Analysis",0.0428267729516388,0.103214600644289,FALSE,31,18,8,5
"L3-121: Particle Size Distribution Analysis",0.00831498612225287,0.0824579766986969,FALSE,0,0,0,0
"L3-162: Micromorphological Residue Analysis",-0.00831565034259778,0.0824549125270666,FALSE,3,3,0,0
"L3-026: Monte Carlo Simulation Methods",-0.0732277248635955,0.119912873945029,FALSE,47,7,14,26
"L3-081: Matrix Population Projection Models",0.00175883218722398,0.108050161103931,FALSE,0,0,0,0
"L3-097: Metaheuristic Optimization Algorithms",0.0143116921547012,0.106230873303069,FALSE,19,0,2,17
"L3-216: Process-Based Simulation Models",0.035478914609439,0.0997718069031114,FALSE,545,285,246,14
"L3-220: Discrete and Agent-Based Simulation",-0.0239141552892011,0.0957297999154951,FALSE,26,0,20,6
"L3-231: Qualitative Data Analysis Methods",0.0455843062346919,0.107396508462277,FALSE,15,13,2,0
"L3-037: Network Centrality Metrics",-0.00452294138292096,0.102852874383632,FALSE,29,3,14,12
"L3-055: Path Analysis and Network Modeling",-0.0229221095347527,0.105685520169584,FALSE,6,0,2,4
"L3-079: Graph Structural Analysis",0.0177218808722517,0.102972723004234,FALSE,105,24,49,32
"L3-080: Network Analysis and Modeling",-0.0734824966019428,0.116132088540519,FALSE,499,242,177,80
"L3-091: Bibliometric and Scientometric Mapping",0.083205275593824,0.129052229944601,FALSE,95,42,39,14
"L3-051: Maximum Entropy and Maximum Likelihood Methods",0.0281595250635132,0.108928593440672,FALSE,4,1,0,3
"L3-104: Ecological and Agricultural Suitability Indices",0.0125438187642366,0.10550891205628,FALSE,0,0,0,0
"L3-213: Species Distribution Modeling",0.0122167099684538,0.101311959393823,FALSE,7,3,2,2
"L3-219: Numerical Mass and Transport Balance",-0.0299029700184267,0.109085287853916,FALSE,0,0,0,0
"L3-224: Climate and Building Energy Modeling",-0.014958311272954,0.101476986751753,FALSE,6,4,2,0
"L3-227: Lagrangian Particle Tracking",-0.00805571937350631,0.099783447327217,FALSE,8,3,4,1
"L3-090: Multi-Criteria Decision Analysis",0.0832851722493121,0.125923537631998,FALSE,21,9,8,4
"L3-117: Bivariate Data Visualization",0.0017518587119203,0.104305801416713,FALSE,11,8,0,3
"L3-138: Finite Element and Related Numerical Methods",-0.0206926009168164,0.0984213335656612,FALSE,23,5,16,2
"L3-139: Geotechnical Limit Analysis and Constitutive Modeling",-0.0239722753001641,0.107502032614753,FALSE,0,0,0,0
"L3-148: Virtual Osteological Reconstruction",0.00931954672732799,0.103604803554181,FALSE,13,9,4,0
"L3-169: Parametric and Procedural Design",-0.0283143119806378,0.107720014433185,FALSE,4,2,2,0
"L3-207: Visual Pattern Recognition",-0.0213836609129756,0.105634164527323,FALSE,6,5,1,0
