"qwen_b_pre","qwen_b_gamma","gemma_b_pre","gemma_b_gamma"
0.7742782,0.80195251,0.50879758,-0.436863
0.5138832,-0.21380434,0.47989406,1.1607028
0.58033338,-0.90190008,0.54253184,-0.43499184
0.57676625,-0.2522297,0.42330191,0.26191501
0.50989538,-1.2756092,0.64185571,-0.60957106
0.52480456,-0.8842335,0.67360695,0.61067283
0.51254544,-0.59700038,0.68532354,1.7751608
0.66254918,0.41823183,0.61645184,-0.086878552
0.58348811,-0.32010329,0.42004833,0.26538161
0.57738152,1.6765662,0.51506646,0.88602759
0.44462661,0.76735407,0.59346406,0.60902766
0.56334967,0.12170264,0.57836442,-0.31240387
0.66777916,1.7328109,0.70948152,1.3630722
0.57281896,0.82019834,0.61847431,0.35035986
0.6819471,0.21885794,0.50618445,-1.4365344
0.69791937,-1.0876658,0.5338435,-0.21677526
0.73192776,-0.56410444,0.65554104,0.33711228
0.66702411,-0.1431268,0.54387449,-0.3919444
0.6910488,0.47781731,0.40977721,-1.1709022
0.67154837,0.26510969,0.40504505,-0.052095332
0.66667134,0.81128632,0.6790241,-0.45719946
0.88449701,0.7380009,0.69565856,-0.5212334
0.63756623,0.63787007,0.44139425,0.50385217
0.66511737,0.59877432,0.4475796,-0.035816244
0.51066026,-1.0013117,0.48840374,0.27673395
0.55908317,-0.78477069,0.61889631,-0.022248053
0.51921854,-0.26875301,0.60486793,-1.0424546
0.74438598,0.40390761,0.56540749,1.5692752
0.6334052,-0.040884307,0.56540749,1.5692752
0.63269784,-0.39520516,0.54472235,-0.16457649
0.675709,0.46897329,0.53655758,0.43021587
0.67535491,0.47164,0.65547384,0.67334035
0.60605483,0.35937692,0.81960487,1.2729243
0.68328653,0.32294197,0.68167583,-0.57278091
0.55813916,0.22726671,0.69456009,-0.93847386
0.58916577,0.19060498,0.7637664,0.18576525
0.73067903,-0.10879185,0.56225214,0.09270747
0.5977518,0.31223259,0.59666238,0.23554015
0.63756058,0.2708123,0.58394233,-0.84826878
0.62392251,0.16035126,0.62171905,2.2424752
0.57540854,-0.11206631,0.53808743,0.82794402
0.64934026,-0.083147596,0.48001381,0.62421164
0.6494802,-0.067318267,0.52969449,0.4987228
0.58764962,-0.35186856,0.48255568,0.80571249
0.6464797,0.94454858,0.4855277,1.2452242
0.67870786,1.1767491,0.70617175,-0.75285236
0.69252117,1.1861056,0.54770819,1.4010006
0.68153039,1.216488,0.51837694,-0.52254692
0.69712493,-1.1021437,0.33599995,-0.11171804
0.75449325,-0.75625508,0.60709165,-0.46677333
0.71627715,-0.52382371,0.5435328,0.030005174
0.64203798,0.57070013,0.51779827,0.17685591
0.4846256,0.201186,0.53931181,-0.081890152
0.47677305,-0.030787381,0.62110044,-0.72306223
0.4636708,0.95187768,0.59742355,-0.45085882
0.45312536,0.62309837,0.45328388,-0.76077562
0.46971244,-0.00061137834,0.38464801,-0.40186944
0.42736552,-0.1031879,0.69755413,0.84143793
0.75652929,-0.41733959,0.62287826,1.6579757
0.73438557,0.44132026,0.67414108,1.7544948
0.55900597,0.60802269,0.71262391,-0.64680858
0.69110544,1.568249,0.5864925,1.4502059
0.5715767,-0.89119597,0.80296968,-0.61590145
0.55898027,0.32411827,0.62574147,0.15268061
0.75562699,-1.0384995,0.62375072,0.10929598
0.71180764,-0.62374817,0.56945016,-0.56904645
0.63319444,0.60037862,0.4214119,1.2772773
0.58479901,0.1209481,0.53198807,0.11311254
0.54011441,-0.22961624,0.58605777,0.58785075
0.63561187,-0.99461906,0.59679353,0.89568981
0.66174388,0.049683009,0.67859022,-0.17430272
0.52845576,-1.3974277,0.6660589,-0.16778746
0.5336108,-0.062137686,0.51982159,1.8983659
0.83318576,0.076673823,0.47517527,0.48350962
0.80032256,1.1594608,0.4597025,0.16405983
0.63766133,0.54640225,0.56851835,-0.19307651
0.66230356,0.25880059,0.73587,0.76769196
0.63299141,0.20637264,0.48882819,-0.70115805
0.53847662,1.2619034,0.44766879,-1.0403888
0.72796867,0.82978043,0.49971954,-0.13776627
0.64301782,1.6239435,0.56037032,1.0163154
0.63525862,1.6918705,0.54258467,0.20221523
0.5202383,0.3099208,0.67413067,0.69435093
0.65076431,-0.58118169,0.60975339,0.29915055
0.6514824,-1.4425917,0.74371051,1.4173244
0.56744924,1.4554842,0.67992162,2.1132712
0.59867102,1.3448587,0.38641898,-1.6306505
0.62727589,1.11948,0.45876742,-1.1878767
0.64334604,2.0430151,0.54817953,0.4631566
0.65822349,0.86791595,0.60296104,-1.0281308
0.61960754,-0.88346915,0.55047839,-0.65006575
0.59790019,-0.36733679,0.44224059,0.64906428
0.65631683,-0.49681985,0.7136915,0.57151556
0.79244948,-0.48401992,0.75941166,0.86092218
0.82628344,0.73369699,0.4972925,2.4903546
0.59929295,-0.27396251,0.53968877,2.5412248
0.73980593,0.52607899,0.44796595,1.7206301
0.49013621,1.4168483,0.7188483,-1.1355344
0.5008621,-0.39911121,0.67536759,-1.0974163
0.65575015,-0.61868914,0.46497274,1.5898313
0.60486931,-1.4805033,0.36157941,0.65772272
0.69303699,0.835199,0.77497149,1.0894929
0.74428126,1.2339516,0.61842081,0.70040267
0.68489204,0.49833183,0.68162054,0.68243206
0.55441396,0.61012593,0.62160547,0.38102623
0.66489718,1.1416152,0.61583636,0.91962358
0.52709207,0.8068357,0.46990355,0.18990031
0.49991313,0.79923652,0.56928146,0.55740882
0.51389563,0.64481977,0.57749702,-0.70321537
0.53509259,0.8212063,0.59141859,0.27029827
0.51877805,0.95348385,0.68089162,0.54269409
0.62976029,-1.3828494,0.52152352,-0.82151145
0.60956466,-0.93756786,0.60083609,0.8316387
0.51066282,1.1834713,0.6160444,0.29389467
0.47554713,-0.72007882,0.6629905,0.567857
0.56664016,1.0470252,0.60234715,0.66389409
0.55651533,-0.94635438,0.49233262,-1.3463321
0.57032284,-1.739055,0.48378269,-2.0031135
0.57813927,-1.5550546,0.47028542,0.65645612
0.64248531,1.1671174,0.5941559,0.012822309
0.54528446,0.026862168,0.60073122,-0.61232044
0.60647986,0.026648556,0.34914231,0.746353
0.54340417,0.20506957,0.48396335,-0.86595339
0.72340458,-1.1777975,0.4898752,0.1011158
0.6795741,0.3608818,0.5573871,-0.3878938
0.64037974,0.13273618,0.57801774,-0.59748913
0.6257215,0.65163731,0.66195485,0.15311681
0.6532384,0.080299927,0.6971196,0.70659922
0.64572163,-0.49880843,0.54907739,-0.17012845
0.8469721,2.1148261,0.59643222,0.1332752
0.8062531,0.29569181,0.47413575,0.10809464
0.7711776,0.45956393,0.49051682,-0.00023132414
0.65073513,-0.30630871,0.53643592,1.6627009
0.72082712,0.16415609,0.60246974,0.34155661
0.68161323,2.8421641,0.65703144,-1.0828654
0.78948549,-1.7150418,0.55386871,1.2002083
0.76049125,-1.6382042,0.52840124,0.43026082
0.76496134,0.69532775,0.51816526,1.1496331
0.76412235,0.7413614,0.60339409,-0.69562818
0.65563568,-0.026795934,0.48172892,0.20071976
0.70355299,0.40819993,0.50533672,0.65143372
0.74518543,-0.060944555,0.44078399,1.1575984
0.69159303,0.59238744,0.59327481,0.19221349
0.63136355,0.045480342,0.61990012,1.2318127
0.57895157,-0.50430777,0.74196451,-1.5501007
0.56445093,-0.0053517535,0.77998039,-1.4057861
0.63931235,1.4870555,0.71079737,-1.2332042
0.64228691,1.8692296,0.67822864,-0.090718527
0.60015544,-1.3667399,0.64467824,-0.4625667
0.70703728,-0.49427001,0.68117267,-0.073585467
0.62867137,-0.093729059,0.67135887,1.4250801
0.64035747,0.03287282,0.64811665,1.0887774
0.67578057,-0.97547468,0.58768924,1.1149998
0.55807724,-1.1411986,0.54226291,1.301105
0.56347728,0.30261852,0.59981206,2.095921
0.74073554,-0.0072181701,0.59423002,1.5669354
0.69716769,0.097942668,0.65601988,-1.2808187
0.6114364,0.64907716,0.47773133,-0.61477003
0.6191736,-0.32235095,0.65018855,-0.34578225
0.62637747,0.59758062,0.71809063,1.4801191
0.63950712,-0.69474276,0.73411379,-1.1341508
0.63701316,-1.0875296,0.50581397,-0.74203486
0.66163181,-0.85874496,0.67621248,1.6287755
0.62965945,-0.78105366,0.55669627,0.71652101
0.54227838,0.90136225,0.61338832,-0.25516489
0.68238597,-0.62393948,0.5910779,0.67221839
0.53976502,0.3183923,0.48989839,0.40582583
0.64080507,0.6777159,0.68220887,0.94298255
0.64504097,0.46623381,0.74654104,1.6363286
0.63473599,-1.2206184,0.63601545,0.4769798
0.66959089,-0.49807215,0.53442256,0.19924023
0.6878236,0.88351193,0.56932374,-0.081486268
0.81175043,1.0136067,0.56963213,-0.91210193
0.57692926,-0.52948182,0.56699445,0.44509573
0.64570502,-0.29034009,0.5218442,-0.25684254
0.6436414,-0.79053002,0.53842967,1.4984907
0.5456885,0.27749665,0.45866324,1.5437766
0.58082663,0.24249919,0.60078542,1.4334664
0.48062695,-0.45488659,0.38304571,0.87141957
0.50935248,-0.46816198,0.60603215,-0.17818401
0.61512287,-1.5167276,0.60801226,-0.73407608
0.57913326,-2.2069492,0.45261218,1.0755283
0.61054082,2.1226155,0.43876554,1.7028642
0.5094632,-0.36620986,0.39751706,0.30079293
0.69204864,-0.1101601,0.50724223,0.087019949
0.7434381,0.69229114,0.45677799,0.63475519
0.59990278,0.79702413,0.48782041,-1.7435877
0.66399783,0.53889875,0.65450671,0.51679372
0.82104953,-0.60768333,0.53092845,-0.40752313
0.65393496,1.8014294,0.53529996,0.96135678
0.57788468,0.46766309,0.5413167,1.0149159
0.52958067,-0.58524191,0.59974057,0.99593157
0.72985116,-0.33414258,0.66349261,0.16855494
0.60776032,-0.20564473,0.61825154,0.95443977
0.64705737,-0.55460273,0.4684938,-0.62736181
0.62948322,-0.75290257,0.49204213,0.70053035
0.62222921,0.65550299,0.48618711,-0.92826381
0.51293799,-0.82442465,0.50814708,-0.49609965
0.64754071,0.56921588,0.46119481,0.33436004
0.82526757,-1.6150423,0.52808425,0.032023362
0.58902867,1.9487227,0.66889432,0.46488481
0.64712553,0.24312263,0.74388234,0.024831413
0.64733765,0.43835065,0.66945096,-0.54781925
0.65290156,0.8888196,0.56407126,0.59417927
0.65212115,1.1019715,0.6698961,1.3318688
0.59999392,1.1110971,0.61766512,2.0906945
0.68570716,-0.17147122,0.44206255,0.92610344
0.58133878,1.3535567,0.5175466,-1.0261191
0.57738668,0.82260013,0.67276793,0.84925742
0.72652428,-0.46070072,0.62611559,-0.62214933
0.63206094,-1.3057631,0.63959526,-1.1694382
0.82485333,1.5979232,0.63806434,-1.2851883
0.65832838,0.81804195,0.65264901,2.1849619
0.70191765,0.26281342,0.6368209,1.0986029
0.62111009,0.1216395,0.69591016,0.12334466
0.58898098,0.05930927,0.62947316,-0.63860367
0.63380916,0.77247219,0.59193072,-0.97074012
0.66056868,1.3176782,0.52674511,-1.2221076
0.81257843,-0.081005522,0.53331964,0.25225502
0.82131149,-0.071817208,0.67048347,0.3320163
0.74527473,0.44135857,0.64798158,0.36177245
0.63765479,-0.60307013,0.54890831,-1.4783455
0.72807906,0.025420232,0.47551389,1.5837606
0.71809088,1.0824059,0.76304158,-0.73559271
0.60422514,1.7185491,0.82631493,-0.53569368
0.56096903,1.8541765,0.79869192,0.63695012
0.50762498,-0.57627088,0.41969497,0.71097791
0.68308043,1.1372418,0.44491208,-0.17421757
0.66625023,0.84232423,0.45055586,0.14760984
0.61474519,0.62893209,0.42379704,-0.076897448
0.59546296,0.38881929,0.51311284,-0.542517
0.59677385,1.4668972,0.75364996,1.9731201
0.64083026,0.30095923,0.77868963,1.6805835
0.58285775,0.56051614,0.79724898,1.671094
0.55312581,-0.83919026,0.84151177,0.42805012
0.6711121,-1.7899925,0.60194751,0.04425848
0.73150391,-1.2513764,0.61640787,-0.38839616
0.69113366,-1.2421546,0.62459939,-0.46700592
0.65948767,1.76347,0.6050893,0.6908605
0.65834272,0.99445969,0.44612938,-0.44023056
0.6481343,1.2820353,0.45998766,-0.69235036
0.57674026,-1.4599504,0.56550978,-0.37564128
0.62488109,-0.92893956,0.5192392,0.9038891
0.58417485,1.1575331,0.5905866,-0.0012472868
0.70731369,-0.57831033,0.57772601,-0.46842312
0.72499785,1.137817,0.49901712,-0.96917768
0.72820411,1.3184487,0.47892345,0.53010043
0.70883558,-0.73058833,0.47294321,-0.48813995
0.67240598,-0.48109564,0.56376565,-0.5619206
0.70567768,-0.77340627,0.61443919,-0.10960491
0.72854088,-0.94305356,0.51091652,-0.18578373
0.64965394,2.3104583,0.51801465,0.037750954
0.61444588,1.1811998,0.56509999,0.49194215
0.67645018,0.72792893,0.62635301,0.72884541
0.53763019,-0.21348948,0.67515238,0.16349139
0.59119307,0.15566516,0.59795725,-0.91442865
0.67099134,-1.2272834,0.7011618,-1.3713074
0.64184055,0.12845715,0.51867953,-0.8502348
0.70093555,0.50436952,0.65486048,1.2524304
0.60740198,1.3010589,0.5077997,-0.55527496
0.632837,1.3210083,0.58261414,1.605629
0.63993358,1.2902534,0.77395781,0.539618
0.6119728,0.25742984,0.79339366,0.54610357
0.64412636,0.19252849,0.73412353,1.8008061
0.64049243,0.30150253,0.69536785,1.532811
0.62960852,0.47984277,0.69061464,1.7103646
0.55471319,-0.068412411,0.8305952,0.41684223
0.5417315,0.038262727,0.50830734,0.31092052
0.65317636,-0.071521008,0.67851062,-0.5862256
0.65484934,0.11650758,0.62852715,-0.16984985
0.69683099,0.46566973,0.55729197,-0.3038555
0.62716601,1.6436096,0.51341639,1.2827165
0.60273052,0.61734533,0.67446574,-1.1462635
0.60523456,1.0038753,0.75255542,1.9250876
0.56306555,0.46516411,0.73056894,-0.42678565
0.65550881,-0.30725265,0.65907436,0.53803163
0.58409393,-0.1433356,0.76235763,0.2643463
0.57751612,0.12786802,0.63296678,0.12933936
0.5657114,0.32192474,0.64101467,-0.54712534
0.55888758,0.34678025,0.60526715,-0.67178029
0.54561984,0.77393261,0.61505565,-0.21078321
0.64667091,0.92336415,0.38609844,0.80526013
0.77196738,-0.67264944,0.49851002,0.71318779
0.61490129,1.7954718,0.5550945,-0.63170843
0.5617443,0.087863109,0.57603705,0.31027309
0.69314075,-0.31697467,0.60312845,0.096226216
0.74541784,-0.86331191,0.57627457,-0.32328481
0.63710492,0.11481342,0.71233393,-0.43832362
0.64518617,0.23189513,0.58027285,0.69611804
0.69607367,0.30023751,0.57146282,0.46051445
0.66903045,-1.3591432,0.57330939,-0.27332949
0.66865951,-0.63674239,0.35273307,0.8818318
0.69052475,-0.047026218,0.77686391,-0.54057602
0.64422217,-0.1517664,0.80250068,1.0413252
0.7410568,1.0114805,0.72208668,1.7824384
0.71164149,1.0866846,0.71480744,0.95306828
0.5872072,-1.1435081,0.77215287,1.7309372
0.55961506,-0.8401124,0.81449298,1.6170537
0.65053166,0.92333367,0.46127906,-1.0916045
0.71533317,0.45814756,0.61010017,0.12066092
0.64649222,0.62124189,0.64757933,0.075803195
0.38549231,-0.59938918,0.56050684,-0.72047426
0.4682704,-0.96106854,0.5783982,-1.0089061
0.50822008,-1.0881068,0.57743739,-1.5809543
0.80856961,1.7031774,0.54568862,-1.0646078
0.70100282,1.390848,0.61288574,0.29254329
0.65795202,-0.41281361,0.49842715,-0.19326784
0.69461588,-0.21654156,0.38420381,0.30168263
0.58999294,-0.63171388,0.39700924,0.22100091
0.61920235,-0.56481468,0.57168839,-1.1473729
0.62078881,0.14367668,0.46576706,-1.3074512
0.52559776,1.4795555,0.49386348,-0.73017248
0.55570033,-0.72734377,0.60280591,1.1994451
0.67156765,-0.26715046,0.64898289,-0.81041445
0.6725685,-0.32819303,0.74915846,1.870225
0.65180414,0.6058677,0.56182143,-0.52004507
0.6610117,0.039958471,0.61828164,0.10658116
0.70345155,0.81896741,0.58660232,-0.28199625
0.60106169,1.3712949,0.63690676,0.72509353
0.6775677,0.36473973,0.56016738,-0.57045493
0.61365106,1.3914292,0.58206108,-0.70862567
0.58328938,1.2732952,0.64494942,-1.0717195
0.68004498,1.1140666,0.8433844,0.21280047
0.59212485,-0.090196563,0.39983268,-0.28814031
0.64587739,-0.50401044,0.33981012,-0.15553184
0.63241638,-0.75938949,0.81787564,0.58916869
0.65319331,0.56211718,0.42553378,0.18991969
0.69944453,0.41857417,0.43784487,0.58067602
0.52282512,0.18730123,0.44076215,-0.033077544
0.61252228,-0.15514099,0.50138446,1.2235364
0.59229717,1.035163,0.47381907,1.3306892
0.66500072,0.94223056,0.64751412,0.76250107
0.62276359,-0.16224983,0.57515077,-0.17439737
0.61889779,0.13757258,0.61637763,-0.90489848
0.70404834,-0.075439803,0.61632365,2.6880473
0.54400118,-0.10212996,0.51598586,0.54477846
0.54392877,-0.46678166,0.5657695,0.79888626
0.5277728,-0.49282052,0.62914158,1.0344664
0.56750506,-0.89201955,0.70375775,-0.51738599
0.78777874,1.2946922,0.53565277,-0.021513591
0.81093165,1.5694101,0.73005257,1.1953702
0.74063784,0.79124275,0.57038744,-0.1594781
0.80980965,1.3956774,0.7274421,-0.24340372
0.67988636,-0.35091418,0.5692916,0.30212644
0.61767031,-0.15769949,0.50381868,0.96713144
0.64553547,-0.43053464,0.5963337,1.0444579
0.5778156,0.65657092,0.72330307,0.32180806
0.65719732,-0.45396508,0.7254526,0.33809014
0.68222886,-0.64482887,0.74291962,0.60026584
0.61815911,1.3735887,0.76927785,0.48946567
0.62593098,0.49898107,0.54892095,-0.67989124
0.52254345,0.3078638,0.51964373,-0.96352367
0.44792326,0.37456709,0.59627962,1.3924657
0.75861396,-0.10107176,0.61151594,0.64032424
0.56751101,0.10630292,0.47278882,-0.27644415
0.59045406,-0.041801416,0.54782549,0.63698597
0.67467611,0.38853158,0.65931337,-0.52901667
0.62747807,-1.5852701,0.66037191,-0.71868621
0.77227015,-1.0548725,0.55999032,-1.1403227
0.76528262,0.87272829,0.55941769,-0.61774226
0.62189272,-0.085039725,0.59320492,-0.90260264
0.57710665,-1.4489757,0.63478062,-0.44715569
0.55906252,-1.4734377,0.60509468,-0.47451177
0.57026169,-1.3668348,0.75299859,1.1760828
0.61762931,1.3049418,0.43888653,-0.067080284
0.57328978,-0.33553913,0.47041433,0.35871434
0.6438679,0.48909792,0.47901163,-0.2641258
0.74138409,0.49870593,0.53330698,1.0429269
0.71650044,0.48028419,0.44539985,-0.29703247
0.73628928,0.9205249,0.68081758,0.55267918
0.70279705,1.4132649,0.51004484,-0.2005324
0.62170248,1.3856344,0.53096408,0.1057525
0.7183265,0.3556617,0.71506992,-0.40944336
0.62559007,-0.11521202,0.62312924,0.97444917
0.66541443,0.83651569,0.48532875,-0.88423825
0.63798432,0.26714747,0.63648318,-0.34807682
0.84575429,-0.75131704,0.63244372,-0.54864138
0.63998062,-0.16147015,0.73996275,1.2540963
0.76631161,-0.63061378,0.68044605,-0.90778006
0.64186855,1.5216093,0.64267011,-1.3724903
0.74322831,-1.0099202,0.47767533,-0.54778744
0.73548606,-0.70360121,0.58529261,-0.32281081
0.70359319,-0.40754217,0.46540441,0.28705947
0.68676348,1.0042833,0.56834448,1.7302696
0.73543375,1.1057289,0.58646826,1.5775787
0.77165061,0.91346265,0.57223942,1.8133024
0.69346278,-1.0154881,0.57656583,-1.3427646
0.7150993,0.36313305,0.51150082,-1.5517934
0.64071492,0.33247767,0.50792338,-1.5179492
0.65566665,0.54542326,0.61817789,0.24011571
0.71396948,0.17176018,0.43355057,-0.060750219
0.87373215,0.73081373,0.70651942,0.40846546
0.52341786,-0.48156452,0.56370296,-0.033106715
0.69310373,-1.9359278,0.35159559,-0.55083512
0.72182743,0.3438388,0.62510156,0.5076966
0.52638651,-0.42653687,0.38775426,1.7018215
0.54869333,-0.55788846,0.51382381,0.051826628
0.5900642,-0.77962851,0.47802853,-0.7633333
0.5544721,0.42054444,0.44956033,0.91937248
0.5875512,-0.18758039,0.31889609,0.82440078
0.629234,-0.19824445,0.1613169,0.032103102
0.68469268,0.83885084,0.57297489,-0.32044847
0.69098717,0.67005703,0.57874746,0.28855092
0.61335681,-0.63939899,0.52380882,0.45097475
0.6519416,0.26185496,0.68345424,1.0055147
0.74434744,0.66454546,0.7475126,-1.0038477
0.67418827,1.2398737,0.68936904,0.69106005
0.717691,0.82534073,0.66919466,-0.6050636
0.73881145,0.86397239,0.5800613,-0.38003596
0.65936999,0.61878706,0.51206439,0.10099152
0.60108909,-0.64952508,0.43210742,-0.55266197
0.6044916,-0.68015679,0.56993574,0.29330783
0.56143198,1.2096192,0.64580918,1.3322268
0.58088786,-0.21163469,0.66050311,0.026089871
0.57018637,-0.061494628,0.68409431,-0.44496483
0.60879873,-0.72830195,0.67236233,1.2038521
0.51696838,1.5359549,0.50849715,2.3424629
0.72486317,0.13815456,0.38949171,2.8557733
0.67185822,-0.14256378,0.77758587,-1.4507729
0.59712767,-1.1145958,0.53298302,1.7631693
0.66155753,-0.88215456,0.53876821,1.1331928
0.5899108,-0.3664755,0.51247217,-0.55490914
0.6319907,0.074908569,0.52554035,1.5129766
0.62281259,0.29306086,0.52386413,-1.8778898
0.67347892,1.1883564,0.48745659,-1.4792878
0.64957158,-0.76796676,0.52789241,-1.4858124
0.71246389,-0.15096802,0.50165507,-1.2137863
0.73305493,-0.077211738,0.48178274,-1.0463338
0.68206264,1.1250496,0.39387303,0.6015562
0.70377418,0.58515171,0.47974191,-1.1001738
0.81424516,-0.31987303,0.50803013,-1.0441831
0.71777244,1.8551434,0.51859979,-0.91532701
0.6078446,0.87887407,0.46429878,-1.4065604
0.71597641,-0.24387615,0.4947271,-1.2252761
0.68805385,0.99876307,0.50687105,1.1030426
0.59415542,-0.5961206,0.44339926,-0.92177125
0.71263548,-0.11727186,0.49602547,-0.037068667
0.6030512,0.2224245,0.58149298,-1.0228505
0.69516269,-0.37178964,0.54826451,0.84044295
0.61019839,-0.26026321,0.46502183,0.66625556
0.64810625,0.67210134,0.74863709,-0.083648188
0.68671234,-0.00023532142,0.59163705,0.88389812
0.68130644,0.36491125,0.44109399,0.75006996
0.70042962,0.76707599,0.6061155,-1.3699268
0.63202724,0.23365572,0.74396759,1.5845415
0.87469948,0.56611817,0.74660016,1.554497
0.83559727,1.7785978,0.63356445,0.51279412
0.67824025,0.53575782,0.49739177,-0.20661786
0.69363026,-0.93874085,0.47517702,-0.55910115
0.66924592,-0.9650201,0.53514953,0.30470383
0.65272854,-0.63796947,0.52853456,0.47547602
0.71757185,0.92828755,0.64020931,-0.67002116
0.56161169,-1.3844404,0.54962715,-1.1747111
0.63193809,-1.1647598,0.62721955,-0.97031606
0.6189006,0.013928016,0.6455697,-1.1238292
0.63746745,0.053019364,0.58623361,0.416485
0.71612938,0.61882659,0.58761211,0.43880451
0.66017092,0.40004416,0.57494745,0.7496434
0.71700316,0.70999197,0.53627005,-0.11070882
0.70578419,-0.0086417573,0.6141129,-0.083916494
0.76369971,0.85494111,0.50587627,0.0043550245
0.75718011,0.83217579,0.6491509,0.14402631
0.75148263,0.40515643,0.52776055,2.6142753
0.71036734,0.6497154,0.54986191,-1.123305
0.72232927,-0.856861,0.58455425,-0.31853215
0.64497828,-0.42983335,0.52490668,-0.20358462
0.62048141,0.10325205,0.5220483,0.80854885
0.61227977,-0.93720484,0.59899085,-0.54901159
0.66898861,-1.2404303,0.63924966,-1.2324517
0.72727115,0.50762457,0.57565285,0.13627066
0.67452103,0.13891067,0.59849952,0.99992083
0.63707963,-0.72406181,0.67547356,-0.96886908
0.62199513,0.72294023,0.62981138,0.90411547
0.63983188,0.12903354,0.73652192,-1.0403529
0.56145913,-0.26897388,0.73721259,-1.5914161
0.61805411,-0.25032391,0.54905571,2.3200509
0.58549014,-0.57723286,0.56215763,-0.18995738
0.75974384,1.3218759,0.61054382,0.29567979
0.69982573,-1.02982,0.71264869,2.2558827
0.62736788,-1.2249254,0.39879152,-1.051108
0.76141366,0.96013138,0.48542867,1.2572684
0.74020986,3.1227736,0.45551673,1.3864175
0.85800288,1.6622891,0.47831304,0.86594867
0.7093001,1.0458389,0.35559862,0.33526756
0.68380715,-0.15064985,0.7534861,0.31339787
0.66217064,0.18101941,0.52826466,-1.5072843
0.65591629,0.24325817,0.45459957,1.37872
0.63508537,0.33271697,0.45792356,1.4471511
0.66359661,0.57150314,0.66584489,1.3385825
0.57920987,0.19357584,0.6598207,1.5585565
0.76350952,0.017018118,0.57447838,0.55936193
0.73816326,0.072434336,0.57296722,0.15913239
0.68373298,-0.23488158,0.51409259,-0.40665552
0.56971281,0.42264913,0.65345729,-1.001048
0.48577046,0.78306076,0.62903396,-0.35737556
0.61808638,0.80431361,0.70037412,0.6698166
