"l3","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-053: Local Relief Modeling",-0.0137868260889685,0.116217015546084,FALSE,0,0,0,0
"L3-066: Least Cost Path Modeling",0.0314626237076755,0.107392904420732,FALSE,11,0,6,5
"L3-067: Weighted Multi-Criteria Cost Surface Modeling",-0.0302790130217743,0.124006251141917,FALSE,0,0,0,0
"L3-093: Weighted Overlay and Entropy Methods",0.00828903360068218,0.113444080411559,FALSE,2,0,0,2
"L3-199: Viewshed and Intervisibility Analysis",-0.0435864700965727,0.108822122385526,FALSE,0,0,0,0
"L3-208: Digital Terrain Modeling and Analysis",0.059656189418345,0.120960362418516,FALSE,0,0,0,0
"L3-214: GIS-Based Landscape Characterization",0.0051449247518536,0.114708208359992,FALSE,0,0,0,0
"L3-217: Cartographic Data Analysis",0.0211889953511504,0.111425685526507,FALSE,0,0,0,0
"L3-218: Hydrological Sediment Yield Modeling",-0.0499820133602531,0.127225294347657,FALSE,0,0,0,0
"L3-223: Spatial Syntax and Modeling",-0.0172820129399729,0.105944561157272,FALSE,3,3,0,0
"L3-225: GIS-Based Spatial Suitability Analysis",0.0379967164161812,0.114030871104329,FALSE,0,0,0,0
"L3-226: Geographic Information System Modeling",-0.0326197006633256,0.0950571611145379,FALSE,0,0,0,0
"L3-228: Hydrological and Hydraulic Modeling",0.0238055449082729,0.114358424065803,FALSE,24,12,9,3
"L3-013: Remote Sensing Spectral Indices",-0.0503048612158989,0.121375601408254,FALSE,0,0,0,0
"L3-072: Spectral Unmixing and Analysis",0.0197988583722442,0.107816430585251,FALSE,27,3,3,21
"L3-172: Multispectral and Hyperspectral Imaging",0.0192101404692181,0.108593996685553,FALSE,0,0,0,0
"L3-175: Geospatial Image Orthorectification",-0.0157049292537836,0.113004537689825,FALSE,0,0,0,0
"L3-235: Remote Sensing Accuracy Metrics",0.0471919558165771,0.122505928980394,FALSE,0,0,0,0
"L3-237: SAR Interferometry and Inversion",-0.00219820380971368,0.107062430837656,FALSE,0,0,0,0
"L3-240: Multispectral and Hyperspectral Imaging",-0.0179958888237551,0.101042983323021,FALSE,0,0,0,0
"L3-002: Impulse Response Characterization",0.0312086228371685,0.110691370742113,FALSE,0,0,0,0
"L3-048: Seismic Tomography and Migration",-0.00689466431642695,0.109069129684366,FALSE,0,0,0,0
"L3-149: Paleomagnetic and Rock Magnetic Methods",-0.0100462466805107,0.105339335171698,FALSE,0,0,0,0
"L3-150: Electrical Resistivity and GPR Prospecting",-0.0142621412996878,0.108107602499365,FALSE,0,0,0,0
"L3-054: Point Cloud Registration and Alignment",0.00800828460803482,0.112737456483209,FALSE,0,0,0,0
"L3-068: X-ray Computed Tomography",-0.0114065848583094,0.102697852964785,FALSE,0,0,0,0
"L3-071: Optical Interferometry and Profilometry",-0.0104380877023088,0.110901049687938,FALSE,1,0,0,1
"L3-152: Laser and Structured Light 3D Scanning",-0.00573457032148661,0.100575637777533,FALSE,0,0,0,0
"L3-161: Vector Geometry and Representation",7.89109658840575e-05,0.11710714478305,FALSE,0,0,0,0
"L3-171: 3D Geometry and Reconstruction",0.0175726973657292,0.0956578691395838,FALSE,0,0,0,0
"L3-189: Satellite-Based Geodetic Surveying",0.0113678649073516,0.114894454450229,FALSE,13,12,1,0
"L3-195: Photogrammetric Reconstruction",-0.0258919196522865,0.0991066650779117,FALSE,21,1,19,1
"L3-196: 3D Reconstruction and Depth Estimation",0.016436774831102,0.103794282721463,FALSE,0,0,0,0
"L3-004: Spline-Based Smoothing and Interpolation",-0.0214852271714114,0.114075385492116,FALSE,0,0,0,0
"L3-005: Procrustes Analysis Methods",0.0247237484336875,0.111266564979627,FALSE,0,0,0,0
"L3-094: Elliptic Fourier Shape Analysis",0.0043017085143831,0.110958716237767,FALSE,0,0,0,0
"L3-160: Triangular Geometric Analysis",0.0107651217154165,0.111011456828795,FALSE,0,0,0,0
"L3-182: Landmark-Based Craniometric Analysis",-0.0163261105094459,0.111176662391114,FALSE,0,0,0,0
"L3-183: Geometric Morphometrics",-0.00197261515871266,0.102268473764697,FALSE,0,0,0,0
"L3-058: Circular Histogram Statistics",-0.0238060591690339,0.122926777242717,FALSE,0,0,0,0
"L3-059: Data Normalization and Standardization",0.0136248800393021,0.117792001715094,FALSE,0,0,0,0
"L3-076: Edge Detection and Filtering",0.0137923245282748,0.120920695802086,FALSE,6,1,0,5
"L3-086: Optical and Electron Microscopy",-0.0144875612773004,0.113120895797693,FALSE,4,2,0,2
"L3-087: Advanced Infrared Thermography",0.0104745032490126,0.119326108865242,FALSE,0,0,0,0
"L3-102: Audio Signal Processing & Analysis",0.0223675582540695,0.109210590790465,FALSE,0,0,0,0
"L3-108: Dental Microwear Texture Analysis",0.0045005982154246,0.120176333978049,FALSE,0,0,0,0
"L3-156: Histogram-Based Image Thresholding",0.0312225915295781,0.121150673257178,FALSE,0,0,0,0
"L3-157: Image Segmentation Algorithms",0.0441055310039306,0.123788148878502,FALSE,0,0,0,0
"L3-173: Handcrafted Texture and Shape Descriptors",-0.0202025585091817,0.119556966631075,FALSE,14,4,2,8
"L3-174: Hand-Crafted Local Geometric Descriptors",-0.0349679317119696,0.124305294718373,FALSE,0,0,0,0
"L3-176: Imaging and Photogrammetric Analysis",0.0136424957453551,0.120546073049048,FALSE,0,0,0,0
"L3-177: Image Inpainting and Enhancement",0.0159570363067915,0.116626778024916,FALSE,0,0,0,0
"L3-178: Histogram-Based Radiometric Enhancement",-0.0184856221203673,0.1212175558503,FALSE,0,0,0,0
"L3-179: Mathematical Morphology",0.0219277568670057,0.121659616194235,FALSE,6,1,1,4
"L3-180: Surface Texture and Gradient Metrics",-0.0166221859944139,0.114692247441358,FALSE,0,0,0,0
"L3-187: Image Recognition and OCR",0.000711607908585435,0.115770805557773,FALSE,0,0,0,0
"L3-188: Digital Image Analysis and Processing",-0.0472181571377939,0.117220098311139,FALSE,0,0,0,0
"L3-190: Colorimetric and False Color Analysis",-0.00963827740601387,0.120032992984265,FALSE,0,0,0,0
"L3-191: Colorimetric Color Space Transformations",-0.0068968535483524,0.119476424441514,FALSE,0,0,0,0
"L3-003: Gradient Boosting Decision Trees",0.0669490137836374,0.127354061440505,FALSE,0,0,0,0
"L3-008: Decision Tree Algorithms",0.0432007342383352,0.118628248390425,FALSE,0,0,0,0
"L3-015: Discriminant Analysis Variants",-0.0424818909753912,0.10865697281411,FALSE,0,0,0,0
"L3-017: Support Vector Machine Variants",0.00413831772914192,0.109336986432667,FALSE,0,0,0,0
"L3-022: Random Forest Ensemble Methods",0.0445768117542592,0.115496891080447,FALSE,0,0,0,0
"L3-034: Bootstrap Aggregating Ensembles",0.00908130530239796,0.119556713223755,FALSE,0,0,0,0
"L3-039: Association Rule Mining Algorithms",-0.0141664304799843,0.11678004880894,FALSE,0,0,0,0
"L3-047: Cross-Validation Techniques",0.0339676199101438,0.11544163928998,FALSE,0,0,0,0
"L3-056: Nearest Neighbor Analysis",-0.0344880855845729,0.116443651333479,FALSE,22,5,4,13
"L3-128: Modern Analogue Techniques",-0.0458557915255723,0.123954481472026,FALSE,1,0,0,1
"L3-236: Automated Content Classification",-0.0649525288714825,0.110108035207637,FALSE,140,105,29,6
"L3-009: YOLO Object Detection Variants",0.0881587945130507,0.144802571425981,FALSE,0,0,0,0
"L3-018: Image Data Augmentation",-0.0224460638493448,0.117191462833583,FALSE,0,0,0,0
"L3-143: Multi-Scale Feature Fusion",0.0146973621596025,0.120062382214709,FALSE,18,0,15,3
"L3-170: Neural Radiance Field Rendering",-0.0485278261804739,0.122256079918705,FALSE,39,17,18,4
"L3-181: Deep Learning Loss Functions",1.98763086344999e-06,0.118693881818326,FALSE,0,0,0,0
"L3-184: Denoising Diffusion Probabilistic Models",0.0518000318916773,0.128229517051562,FALSE,0,0,0,0
"L3-186: Few-Shot and Self-Supervised Adaptation",-0.0512470543096501,0.125682384082517,FALSE,0,0,0,0
"L3-192: Generative Adversarial Networks",0.0442725276482612,0.122553581778625,FALSE,14,3,5,6
"L3-197: Feedforward and Recurrent Neural Networks",-0.0613610603440865,0.118656915546409,FALSE,20,0,6,14
"L3-198: Encoder-Decoder Architectures",0.00972644383512969,0.122839534817427,FALSE,0,0,0,0
"L3-200: Spatial and Channel Attention Mechanisms",0.0589499639759895,0.132739898277772,FALSE,0,0,0,0
"L3-201: Attention Mechanism Variants",0.0614925107527114,0.132016036653931,FALSE,0,0,0,0
"L3-202: Deep Learning Semantic Segmentation",0.0164304716769887,0.108244113481036,FALSE,0,0,0,0
"L3-203: Residual Learning Architectures",-0.010722780819977,0.120765869980881,FALSE,0,0,0,0
"L3-204: Convolutional Neural Network Architectures",0.00219850490311948,0.116152925795176,FALSE,0,0,0,0
"L3-205: Advanced Convolutional Architectures",-0.0553049716844804,0.128229564293796,FALSE,0,0,0,0
"L3-206: Convolutional Neural Network Architectures",-0.0222316595773005,0.117071010910953,FALSE,90,12,35,43
"L3-241: Archaeological Dating and Analysis Methods",-0.0758856352022882,0.13013451455221,FALSE,0,0,0,0
"L3-185: Pretrained Transformer Architectures",0.0641298560763008,0.115858421557877,FALSE,0,0,0,0
"L3-193: Natural Language Processing",-0.0324906684511289,0.101687234584005,FALSE,324,158,137,29
"L3-194: Word Embedding Models",-0.0316413331171025,0.104032274618986,FALSE,0,0,0,0
"L3-035: Inductively Coupled Plasma Spectrometry",-0.0164797025933569,0.10927352310565,FALSE,11,7,0,4
"L3-036: Nuclear Magnetic Resonance Spectroscopy",0.00239654649921246,0.119602442711686,FALSE,0,0,0,0
"L3-040: Polymerase Chain Reaction Variants",-0.0247631046961816,0.122444785465814,FALSE,0,0,0,0
"L3-042: Liquid Chromatography Variants",0.0136271845747019,0.112692317661556,FALSE,0,0,0,0
"L3-060: Neutron Activation Analysis",-0.0318217421094532,0.121341373839658,FALSE,7,4,1,2
"L3-061: Microscopic Mineralogical Characterization",0.012564897399412,0.112857358991195,FALSE,0,0,0,0
"L3-074: X-ray and Neutron Diffraction",-0.00417416701320909,0.101987095610686,FALSE,0,0,0,0
"L3-077: Raman Spectroscopy Variants",-0.0114376113351281,0.104815842765279,FALSE,0,0,0,0
"L3-082: Fourier Transform Infrared Spectroscopy",0.0279632339509029,0.10431151278841,FALSE,4,1,0,3
"L3-083: Reflectance and Emission Spectroscopy",-0.0228334201602555,0.111636807374172,FALSE,1,1,0,0
"L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy",0.0232470759018319,0.100082422209138,FALSE,0,0,0,0
"L3-085: Microscopic and Microanalytical Methods",-0.0572863254323858,0.13515639260986,FALSE,5,3,2,0
"L3-088: X-ray Fluorescence and Absorption Spectroscopy",0.000567055944193,0.101314084153394,FALSE,27,17,3,7
"L3-089: X-ray Fluorescence Spectroscopy",-0.0134107584796108,0.103141391687063,FALSE,0,0,0,0
"L3-107: Chemometric and Spectroscopic Analysis",0.0912354847058634,0.133200351514718,FALSE,6,0,2,4
"L3-168: Spectroscopic and Mass Spectrometric Analysis",0.014373046421203,0.116926950305394,FALSE,0,0,0,0
"L3-209: Thermogravimetric and Thermal Analysis",0.00411899593403609,0.120470499369589,FALSE,0,0,0,0
"L3-233: Thermal Analysis and Spectroscopy",-0.00756558755359102,0.115672400139451,FALSE,0,0,0,0
"L3-234: Differential Spectroscopic Methods",-0.000314451639588775,0.113203304005761,FALSE,0,0,0,0
"L3-038: Ancient DNA and Population Genomics",0.00740436486967989,0.107056808910277,FALSE,0,0,0,0
"L3-041: DNA Sequencing and Metabarcoding",-0.00751129163823366,0.109451484290338,FALSE,0,0,0,0
"L3-043: Gas Chromatography Mass Spectrometry",-0.00165921276523076,0.103321730150241,FALSE,0,0,0,0
"L3-044: Mass Spectrometry-Based Proteomics",0.0314458889841504,0.102638616208518,FALSE,0,0,0,0
"L3-064: Bayesian Multi-Source Mixing Models",-0.0198246713077431,0.110079106431015,FALSE,0,0,0,0
"L3-065: End Member Mixing Models",-0.0521373263412701,0.117892439620852,FALSE,0,0,0,0
"L3-105: Stable Isotope Ratio Analysis",0.0422807095245455,0.107706721031973,FALSE,0,0,0,0
"L3-121: Particle Size Distribution Analysis",0.00980351351097737,0.0860587866266678,FALSE,0,0,0,0
"L3-162: Micromorphological Residue Analysis",-0.00980452685391954,0.0860559404853299,FALSE,3,3,0,0
"L3-026: Monte Carlo Simulation Methods",-0.0768445624192771,0.123212473079945,FALSE,0,0,0,0
"L3-081: Matrix Population Projection Models",-0.00639612010781187,0.110708490570346,FALSE,0,0,0,0
"L3-097: Metaheuristic Optimization Algorithms",0.0227804256440309,0.110959283207463,FALSE,0,0,0,0
"L3-216: Process-Based Simulation Models",0.0392430221991426,0.106458553308566,FALSE,0,0,0,0
"L3-220: Discrete and Agent-Based Simulation",-0.0349680565264997,0.099733048941258,FALSE,0,0,0,0
"L3-231: Qualitative Data Analysis Methods",0.056193984362436,0.117065141746903,FALSE,0,0,0,0
"L3-037: Network Centrality Metrics",-0.00549912341229717,0.106627788365695,FALSE,29,3,14,12
"L3-055: Path Analysis and Network Modeling",-0.024023447115434,0.111037738547308,FALSE,0,0,0,0
"L3-079: Graph Structural Analysis",0.0239485832168632,0.107400214875292,FALSE,105,24,49,32
"L3-080: Network Analysis and Modeling",-0.0833794257747241,0.122895485944448,FALSE,0,0,0,0
"L3-091: Bibliometric and Scientometric Mapping",0.0889554612453202,0.131678340170972,FALSE,0,0,0,0
"L3-051: Maximum Entropy and Maximum Likelihood Methods",0.0312891800506005,0.112233276306532,FALSE,0,0,0,0
"L3-104: Ecological and Agricultural Suitability Indices",0.0148191365319991,0.111426265927429,FALSE,0,0,0,0
"L3-213: Species Distribution Modeling",0.00924169516874237,0.106026228945242,FALSE,0,0,0,0
"L3-219: Numerical Mass and Transport Balance",-0.0324950643276296,0.115400089861334,FALSE,0,0,0,0
"L3-224: Climate and Building Energy Modeling",-0.00943061068217438,0.105126526775277,FALSE,0,0,0,0
"L3-227: Lagrangian Particle Tracking",-0.0134127389214594,0.10721730386263,FALSE,0,0,0,0
"L3-090: Multi-Criteria Decision Analysis",0.0984888933032976,0.137948782659553,FALSE,0,0,0,0
"L3-117: Bivariate Data Visualization",0.00143525840397779,0.108809046856422,FALSE,0,0,0,0
"L3-138: Finite Element and Related Numerical Methods",-0.025688983650566,0.103888760860678,FALSE,0,0,0,0
"L3-139: Geotechnical Limit Analysis and Constitutive Modeling",-0.0325000856170409,0.116902610361572,FALSE,0,0,0,0
"L3-148: Virtual Osteological Reconstruction",0.0120219161481396,0.109258956718675,FALSE,13,9,4,0
"L3-169: Parametric and Procedural Design",-0.0308621285990787,0.112777915225277,FALSE,0,0,0,0
"L3-207: Visual Pattern Recognition",-0.0228916397226982,0.110450882467819,FALSE,0,0,0,0
